CUST_ID,BALANCE,PURCHASES,CASH_ADVANCE,PAYMENTS,CREDIT_LIMIT,PURCHASES_TRX
C10001,40.900749,95.4,0.0,201.802084,1000.0,2.0
C10002,3202.467416,0.0,6442.9454829999995,4103.032596999999,7000.0,0.0
C10003,2495.148862,773.17,0.0,622.066742,7500.0,12.0
C10004,1666.670542,1499.0,205.788017,0.0,7500.0,1.0
C10005,817.714335,16.0,0.0,678.334763,1200.0,1.0
C10006,1809.8287510000002,1333.28,0.0,1400.05777,1800.0,8.0
C10007,627.260806,7091.01,0.0,6354.314328,13500.0,64.0
C10008,1823.6527429999999,436.2,0.0,679.0650820000001,2300.0,12.0
C10009,1014.9264730000001,861.49,0.0,688.278568,7000.0,5.0
C10010,152.225975,1281.6,0.0,1164.770591,11000.0,3.0
C10011,1293.124939,920.12,0.0,1083.301007,1200.0,12.0
C10012,630.794744,1492.18,0.0,705.618627,2000.0,6.0
C10013,1516.92862,3217.99,0.0,608.263689,3000.0,26.0
C10014,921.693369,2137.93,0.0,1655.891435,7500.0,26.0
C10015,2772.772734,0.0,346.81139,805.647974,3000.0,0.0
C10016,6886.213231000001,1611.7,2301.4912670000003,1993.439277,8000.0,11.0
C10017,2072.074354,0.0,2784.274703,391.974562,3000.0,0.0
C10018,41.089489,519.0,0.0,254.590662,2500.0,8.0
C10019,1989.0722280000002,504.35,0.0,1720.837373,13000.0,9.0
C10020,3577.9709329999996,398.64,0.0,1053.980464,4000.0,12.0
C10021,2016.6846859999998,176.68,0.0,223.0686,2000.0,8.0
C10022,6369.531318,6359.95,229.02824500000003,2077.9590510000003,11250.0,92.0
C10023,132.34224,815.9,0.0,2359.629958,1800.0,17.0
C10024,3800.151377,4248.35,7974.415626000001,9479.043842000001,9000.0,13.0
C10025,5368.5712189999995,0.0,798.9498629999999,1422.726707,6000.0,0.0
C10026,169.781679,399.6,0.0,215.306142,3000.0,12.0
C10027,1615.96724,102.0,244.840485,890.1788449999999,1700.0,2.0
C10028,125.69481699999999,233.28,0.0,207.77371499999998,1000.0,12.0
C10029,7152.864372,387.05,2236.145259,1601.448347,10500.0,8.0
C10030,22.063489999999998,100.0,0.0,160.767773,6900.0,5.0
C10032,1162.273324,1347.71,175.815755,645.998299,6000.0,45.0
C10033,6732.823064,324.95,1189.533753,1720.1188760000002,10500.0,3.0
C10034,125.660453,636.79,0.0,423.449696,1200.0,11.0
C10035,3517.1016159999995,547.28,0.0,8735.607834999999,11000.0,14.0
C10036,1656.350781,0.0,99.26436700000001,351.500199,1800.0,0.0
C10037,7427.076940999999,0.0,8873.375046,1636.361601,9000.0,0.0
C10038,4047.480828,2380.55,1697.6609010000002,1617.894416,5000.0,41.0
C10039,6269.418144,204.0,2925.699862,1237.111661,9000.0,2.0
C10041,663.44781,0.0,3133.063934,3067.05783,1800.0,0.0
C10043,784.889762,1526.59,2188.419607,1262.309666,3000.0,27.0
C10044,4104.710798,203.82,0.0,868.275275,4500.0,1.0
C10045,1360.742377,0.0,1481.5870929999999,378.294227,1500.0,0.0
C10046,5315.945594,1525.44,0.0,1430.3415009999999,8500.0,20.0
C10047,2242.311686,437.0,184.64869199999998,0.0,2400.0,5.0
C10048,474.447149,109.74,1013.659552,176.013005,1700.0,3.0
C10049,3910.1112369999996,0.0,1980.873201,0.0,4200.0,0.0
C10050,229.867179,2390.6,0.0,2543.953559,3300.0,87.0
C10051,863.809833,507.5,695.097159,587.866451,4000.0,3.0
C10052,4931.331857,901.42,8530.648614,8113.297345999999,12000.0,9.0
C10053,1078.888565,3107.85,0.0,1399.82834,2500.0,18.0
C10054,1565.6810990000001,0.0,321.35913500000004,691.825279,3500.0,0.0
C10055,464.674156,1979.22,1981.265503,3110.0527420000003,3000.0,11.0
C10056,6.660517,310.0,0.0,417.01676299999997,1000.0,8.0
C10057,1311.995984,1283.9,0.0,0.0,6000.0,6.0
C10058,3625.218146,313.27,668.468743,0.0,4000.0,4.0
C10059,2386.330629,5217.62,0.0,5678.729613,7500.0,42.0
C10060,3971.1387649999997,0.0,224.575517,764.9387280000001,4000.0,0.0
C10061,5493.90406,229.0,970.5913320000001,2110.557023,6000.0,6.0
C10062,1879.1140329999998,113.0,0.0,3509.686561,6500.0,2.0
C10063,1555.793701,66.2,0.0,338.083661,1600.0,1.0
C10064,809.582978,0.0,3819.6724659999995,4372.148647999999,4150.0,0.0
C10065,7.152356,840.0,0.0,0.0,1600.0,1.0
C10067,1923.886805,1887.64,1605.9493710000002,3688.0459979999996,1850.0,61.0
C10068,1758.059987,412.33,0.0,777.4516480000001,1800.0,11.0
C10069,809.847455,0.0,908.4236080000001,146.074769,1500.0,0.0
C10070,1576.3050289999999,0.0,382.908547,540.022225,2500.0,0.0
C10071,3990.5235789999997,263.5,0.0,6876.836205,6000.0,8.0
C10072,1699.4354859999999,1363.69,0.0,1623.816348,1700.0,4.0
